2,8,13,15,27,33,31,40,28,29,13,11,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,10,14,12,10,18,23,35,34,32,20,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,23,13,20,20,24,20,20,22,26,18,21,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,26,31,24,30,14,12,12,8,4,16,10,10,15,5,4,3,5,4,2,0,1,0,0,0,0,0,0,0,0,0,0,9,14,16,17,27,22,21,24,26,22,21,11,14,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,14,16,14,17,14,19,15,26,14,16,22,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,24,15,17,18,28,22,18,16,16,23,27,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11,16,15,28,28,24,29,27,24,15,12,7,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,66,21,29,15,11,20,13,6,8,6,5,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,44,30,33,27,18,14,12,9,13,10,7,6,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,39,33,31,21,16,13,15,10,15,5,9,11,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,24,24,49,19,31,29,21,16,8,9,5,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,31,23,19,17,22,23,17,21,13,17,6,10,7,4,1,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,23,32,23,34,24,13,17,13,12,17,9,15,8,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,47,38,30,26,19,19,15,10,11,7,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,30,45,28,20,18,20,15,6,8,7,4,11,8,4,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,7,8,17,31,32,34,32,34,27,12,6,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,31,8,15,6,11,17,18,24,29,27,22,16,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,32,19,26,24,28,12,24,21,16,16,9,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,13,24,31,27,17,22,14,9,10,17,12,15,10,1,0,2,6,4,3,0,0,1,0,0,0,0,0,0,0,0,8,19,23,21,33,21,19,33,15,18,16,9,9,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,9,20,15,22,20,13,18,17,18,20,20,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,16,16,22,22,18,23,23,18,21,18,29,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,12,15,17,21,27,43,23,30,17,15,10,10,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,44,43,26,26,21,19,12,10,8,12,9,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,39,39,33,29,21,12,9,10,10,4,10,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,49,44,16,16,19,17,14,11,8,8,10,7,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,11,22,36,37,48,32,25,17,6,3,2,1,2,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,12,19,11,17,34,26,22,28,19,18,18,9,5,9,2,0,2,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,21,25,38,17,23,17,17,10,11,13,12,19,16,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,43,38,25,25,21,19,16,9,3,8,5,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,25,30,30,36,22,23,16,10,8,3,7,8,3,8,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
9,6,12,17,22,29,47,43,31,15,8,11,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,14,8,6,6,13,14,32,30,35,33,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,21,17,15,13,10,20,21,29,23,25,24,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,24,23,20,31,31,19,16,12,4,4,7,19,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,23,16,26,30,27,24,20,24,13,11,10,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,12,21,20,16,19,26,22,18,8,23,28,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,10,16,21,23,27,19,24,20,20,24,21,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11,12,15,30,27,32,35,21,22,14,21,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,47,31,25,22,21,16,11,11,7,6,5,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,46,25,41,24,21,14,9,18,5,9,9,12,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,45,34,29,22,24,16,16,7,9,6,8,11,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,13,22,29,34,28,31,25,26,11,7,9,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,26,39,22,22,23,16,16,15,9,8,5,10,7,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,38,31,23,14,19,11,13,22,13,21,13,11,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,41,38,27,22,20,18,23,15,6,7,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,9,16,31,37,37,41,21,9,9,6,9,7,6,0,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,14,23,36,34,42,49,16,20,9,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,11,14,7,13,13,19,21,24,29,39,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,23,15,5,7,19,19,25,25,23,24,39,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,33,37,23,29,25,16,7,8,5,11,12,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,22,26,41,34,36,14,21,11,12,12,10,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32,15,22,18,16,15,18,28,23,17,18,16,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,12,25,30,30,35,21,16,26,13,14,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,18,17,12,26,34,25,29,26,26,17,13,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,36,37,41,35,26,19,17,6,3,3,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,33,19,22,24,24,27,19,14,12,9,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,64,42,22,8,12,12,13,13,8,7,12,10,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,19,28,31,43,36,30,16,11,7,6,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,32,44,29,31,22,9,16,10,12,6,8,8,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,34,23,29,26,19,25,15,12,11,9,13,6,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,45,33,17,15,19,23,21,22,7,15,11,12,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,26,32,36,31,39,11,11,13,8,4,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,10,19,21,33,41,45,29,23,12,8,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,13,8,11,24,22,21,27,20,23,13,23,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,16,13,19,20,20,23,26,17,14,29,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,30,20,31,30,23,18,13,7,6,9,10,8,11,7,7,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,15,14,13,26,27,30,35,33,20,13,10,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,22,18,10,19,19,23,16,15,16,17,28,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,20,17,12,20,19,9,19,18,14,14,32,17,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14,24,32,26,32,19,16,14,11,9,12,12,4,3,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,32,34,33,28,34,23,18,9,11,8,3,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,28,26,25,33,29,17,20,8,9,9,8,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,42,42,29,11,24,16,13,13,9,8,10,8,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,25,29,32,25,38,25,15,10,6,7,1,3,4,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,12,16,27,47,45,29,27,18,12,12,4,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,24,34,20,21,25,24,22,8,12,16,11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,21,26,30,31,23,23,20,17,18,9,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,22,28,45,45,35,25,17,13,4,6,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,48,35,30,28,19,16,8,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,20,17,15,12,18,20,20,18,19,28,23,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,15,8,11,15,14,18,18,28,29,36,23,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,25,22,31,14,8,11,15,10,13,11,12,7,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,20,23,34,25,31,25,20,9,9,5,9,10,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,37,12,10,14,18,24,22,31,18,15,14,9,11,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,25,16,10,19,17,17,22,22,15,18,15,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,15,32,23,23,28,13,20,18,16,12,5,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,50,48,41,34,24,4,7,4,5,2,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,26,34,26,16,15,21,11,7,11,10,13,15,15,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,41,18,11,16,18,8,14,10,17,18,15,14,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,12,22,44,36,42,32,18,21,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,26,40,28,28,28,16,9,19,8,8,12,5,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,44,25,16,10,9,12,19,17,10,23,13,10,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,33,34,28,23,13,17,19,22,11,13,9,12,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,14,22,26,36,22,27,25,22,16,11,9,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,51,41,40,29,16,24,12,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,17,16,15,21,20,15,19,27,24,22,21,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,16,12,15,19,19,16,22,22,19,28,25,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,33,35,40,25,23,13,16,7,12,10,9,5,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,19,18,25,33,33,22,14,19,11,12,5,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,12,12,15,22,21,22,17,25,17,11,17,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,28,14,17,17,16,19,23,27,23,13,12,13,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,15,38,23,25,27,16,28,19,14,9,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,35,48,47,38,25,18,6,5,5,0,2,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,41,22,21,16,17,14,10,8,8,14,15,9,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,39,28,24,16,9,17,19,7,14,15,17,14,12,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,14,25,31,51,35,39,19,18,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,29,25,25,38,30,21,15,8,10,7,8,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,36,32,20,21,9,17,13,17,20,10,17,14,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,44,27,21,16,25,19,21,15,15,8,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,18,16,21,27,26,33,26,21,20,11,9,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,41,35,24,16,9,6,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,24,14,24,19,11,20,25,21,29,18,14,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,14,8,9,12,17,25,29,14,30,26,24,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,25,28,42,26,14,13,9,6,7,3,12,4,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,21,23,24,30,31,24,14,14,13,6,11,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,29,17,11,10,19,20,20,26,19,26,15,10,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,25,23,15,12,21,10,21,21,25,20,7,15,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,21,20,39,20,19,20,15,13,17,22,9,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,39,53,44,34,22,11,3,1,4,2,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,53,22,13,25,17,11,8,14,16,13,11,10,11,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,33,31,20,14,8,12,18,13,12,15,19,13,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,16,31,25,33,38,31,28,20,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,31,22,23,26,19,24,19,7,14,9,5,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,23,15,19,22,12,16,16,14,19,11,12,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,41,35,20,15,21,22,25,21,15,12,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,14,22,27,38,25,22,31,12,14,16,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14,13,35,34,39,41,31,19,14,6,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,8,8,14,15,22,22,20,26,29,23,16,17,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,11,18,23,22,20,28,26,15,22,19,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,36,27,24,17,14,9,12,10,11,9,7,5,11,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,14,10,26,26,44,38,37,23,9,9,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,17,11,16,17,12,12,23,22,16,19,19,20,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,21,8,17,12,13,15,21,19,16,20,22,20,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,15,25,34,23,19,22,13,17,17,12,14,11,4,0,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,23,31,27,23,18,33,29,23,12,8,8,8,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,34,46,22,25,22,24,15,19,13,4,8,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,41,40,23,20,16,17,13,5,22,12,10,6,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,28,23,36,38,18,20,18,12,5,9,6,5,1,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,21,30,36,31,36,39,22,19,8,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,20,25,23,30,26,18,25,16,14,6,13,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,26,23,24,24,31,25,26,11,13,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,22,26,39,29,40,26,15,10,5,7,3,5,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,10,13,26,27,44,45,25,24,10,9,7,5,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,15,9,15,16,13,22,26,22,20,16,24,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,9,17,19,14,17,23,26,25,28,19,27,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,31,21,24,26,21,14,12,11,13,13,9,11,5,0,5,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,10,20,21,32,28,35,26,25,20,11,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22,19,10,19,14,18,20,22,15,18,15,18,20,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,24,19,7,17,20,20,18,21,17,12,17,26,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,12,30,23,23,18,30,16,21,14,13,11,6,5,1,5,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,19,35,27,26,14,26,26,23,20,6,15,4,6,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,31,30,29,26,28,23,21,14,12,8,8,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,42,34,21,19,16,17,15,11,21,12,7,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,25,38,33,29,25,18,18,12,4,7,4,7,1,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,27,36,29,29,37,33,20,18,8,9,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,23,33,25,21,31,19,12,17,15,8,12,7,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,29,36,25,25,18,25,19,15,15,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,23,36,34,40,20,23,18,10,11,6,4,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
